"Cache Toolbar","Cache Toolbar"
"Clear Cache","Clear Cache"
"Configuration","Configuration"
"Cache invalidated%1 — clear now?","Cache invalidated%1 — clear now?"
"Cache is invalidated.","Cache is invalidated."
"Smart Clear","Smart Clear"
"Full Clear","Full Clear"
"Dismiss","Dismiss"
"Cache clear failed. Please try again.","Cache clear failed. Please try again."
"Cache cleared (%d types in %ss)","Cache cleared (%d types in %ss)"
"All cache cleared (%d types in %ss)","All cache cleared (%d types in %ss)"
"Clearing cache…","Clearing cache…"
"Clear failed — try again.","Clear failed — try again."
"Request failed — try again.","Request failed — try again."
"Fast Admin loads orders in 0.3s.","Fast Admin loads orders in 0.3s."
"Learn more","Learn more"
"Dismiss for 30 days","Dismiss for 30 days"
